cage_number,treatment,species,value,trophic_level,metric,interaction_evenness
1,Epo_Epl,Cucurbita_pepo,1,plant,visitation_evenness,0.640372564
1,Epo_Epl,Centaurea_cyanus,0.465081733,plant,visitation_evenness,0.640372564
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,plant,visitation_evenness,0.640372564
1,Epo_Epl,Coriandrum_sativum,0.222681532,plant,visitation_evenness,0.640372564
1,Epo_Epl,Brassica_rapa,0.222049841,plant,visitation_evenness,0.640372564
1,Epo_Epl,Lupinus_hartwegii,0.365643168,plant,visitation_evenness,0.640372564
1,Epo_Epl,Salvia_farinacea,0.351920265,plant,visitation_evenness,0.640372564
10,Epo_Dpl,Centaurea_cyanus,0.496736115,plant,visitation_evenness,0.564982988
10,Epo_Dpl,Cucurbita_pepo,1,plant,visitation_evenness,0.564982988
10,Epo_Dpl,Lupinus_hartwegii,0.526604655,plant,visitation_evenness,0.564982988
10,Epo_Dpl,Coriandrum_sativum,0.251767255,plant,visitation_evenness,0.564982988
10,Epo_Dpl,Salvia_farinacea,0.515274848,plant,visitation_evenness,0.564982988
10,Epo_Dpl,Brassica_rapa,0.194026163,plant,visitation_evenness,0.564982988
10,Epo_Dpl,Fagopyrum_esculentum,0.178188715,plant,visitation_evenness,0.564982988
11,Dpo_Dpl,Cucurbita_pepo,0.404457921,plant,visitation_evenness,0.419613917
11,Dpo_Dpl,Coriandrum_sativum,0.517210485,plant,visitation_evenness,0.419613917
11,Dpo_Dpl,Centaurea_cyanus,0.441328154,plant,visitation_evenness,0.419613917
11,Dpo_Dpl,Lupinus_hartwegii,0.52128792,plant,visitation_evenness,0.419613917
11,Dpo_Dpl,Brassica_rapa,0.191781189,plant,visitation_evenness,0.419613917
11,Dpo_Dpl,Salvia_farinacea,0.515274848,plant,visitation_evenness,0.419613917
11,Dpo_Dpl,Fagopyrum_esculentum,0.344478836,plant,visitation_evenness,0.419613917
12,Dpo_Dpl,Centaurea_cyanus,0.43535364,plant,visitation_evenness,0.435385096
12,Dpo_Dpl,Lupinus_hartwegii,0.504658806,plant,visitation_evenness,0.435385096
12,Dpo_Dpl,Coriandrum_sativum,0.299162856,plant,visitation_evenness,0.435385096
12,Dpo_Dpl,Cucurbita_pepo,0.382455684,plant,visitation_evenness,0.435385096
12,Dpo_Dpl,Salvia_farinacea,1,plant,visitation_evenness,0.435385096
12,Dpo_Dpl,Brassica_rapa,0.18814684,plant,visitation_evenness,0.435385096
12,Dpo_Dpl,Fagopyrum_esculentum,0.26089955,plant,visitation_evenness,0.435385096
13,Dpo_Dpl,Lupinus_hartwegii,0.515088084,plant,visitation_evenness,0.516556207
13,Dpo_Dpl,Cucurbita_pepo,0.643965449,plant,visitation_evenness,0.516556207
13,Dpo_Dpl,Centaurea_cyanus,0.374060142,plant,visitation_evenness,0.516556207
13,Dpo_Dpl,Salvia_farinacea,0.504619303,plant,visitation_evenness,0.516556207
13,Dpo_Dpl,Coriandrum_sativum,0.190040135,plant,visitation_evenness,0.516556207
13,Dpo_Dpl,Fagopyrum_esculentum,0.205832342,plant,visitation_evenness,0.516556207
13,Dpo_Dpl,Brassica_rapa,0.191140235,plant,visitation_evenness,0.516556207
14,Dpo_Dpl,Lupinus_hartwegii,0.507655542,plant,visitation_evenness,0.515759074
14,Dpo_Dpl,Salvia_farinacea,0.350024915,plant,visitation_evenness,0.515759074
14,Dpo_Dpl,Centaurea_cyanus,0.349749097,plant,visitation_evenness,0.515759074
14,Dpo_Dpl,Cucurbita_pepo,0.57142321,plant,visitation_evenness,0.515759074
14,Dpo_Dpl,Coriandrum_sativum,0.231852877,plant,visitation_evenness,0.515759074
14,Dpo_Dpl,Fagopyrum_esculentum,0.206791186,plant,visitation_evenness,0.515759074
14,Dpo_Dpl,Brassica_rapa,0.228079177,plant,visitation_evenness,0.515759074
15,Dpo_Dpl,Centaurea_cyanus,0.331902953,plant,visitation_evenness,0.443089075
15,Dpo_Dpl,Lupinus_hartwegii,0.339153003,plant,visitation_evenness,0.443089075
15,Dpo_Dpl,Salvia_farinacea,1,plant,visitation_evenness,0.443089075
15,Dpo_Dpl,Cucurbita_pepo,0.596541621,plant,visitation_evenness,0.443089075
15,Dpo_Dpl,Fagopyrum_esculentum,0.255605677,plant,visitation_evenness,0.443089075
15,Dpo_Dpl,Coriandrum_sativum,0.270487849,plant,visitation_evenness,0.443089075
15,Dpo_Dpl,Brassica_rapa,0.189943084,plant,visitation_evenness,0.443089075
16,Dpo_Epl,Cucurbita_pepo,0.669892041,plant,visitation_evenness,0.620589723
16,Dpo_Epl,Lupinus_hartwegii,0.402832944,plant,visitation_evenness,0.620589723
16,Dpo_Epl,Centaurea_cyanus,0.432248971,plant,visitation_evenness,0.620589723
16,Dpo_Epl,Salvia_farinacea,0.351069289,plant,visitation_evenness,0.620589723
16,Dpo_Epl,Fagopyrum_esculentum,0.356849629,plant,visitation_evenness,0.620589723
16,Dpo_Epl,Coriandrum_sativum,0.29091665,plant,visitation_evenness,0.620589723
16,Dpo_Epl,Brassica_rapa,0.395879575,plant,visitation_evenness,0.620589723
17,Dpo_Epl,Lupinus_hartwegii,0.349274767,plant,visitation_evenness,0.59571479
17,Dpo_Epl,Salvia_farinacea,0.258737563,plant,visitation_evenness,0.59571479
17,Dpo_Epl,Cucurbita_pepo,1,plant,visitation_evenness,0.59571479
17,Dpo_Epl,Fagopyrum_esculentum,0.207185778,plant,visitation_evenness,0.59571479
17,Dpo_Epl,Coriandrum_sativum,0.277021813,plant,visitation_evenness,0.59571479
17,Dpo_Epl,Centaurea_cyanus,0.278786436,plant,visitation_evenness,0.59571479
17,Dpo_Epl,Brassica_rapa,0.21082143,plant,visitation_evenness,0.59571479
18,Dpo_Epl,Salvia_farinacea,0.262344861,plant,visitation_evenness,0.62016339
18,Dpo_Epl,Lupinus_hartwegii,0.371634395,plant,visitation_evenness,0.62016339
18,Dpo_Epl,Fagopyrum_esculentum,0.289825319,plant,visitation_evenness,0.62016339
18,Dpo_Epl,Brassica_rapa,0.259311162,plant,visitation_evenness,0.62016339
18,Dpo_Epl,Coriandrum_sativum,0.282071562,plant,visitation_evenness,0.62016339
18,Dpo_Epl,Centaurea_cyanus,0.370011187,plant,visitation_evenness,0.62016339
18,Dpo_Epl,Cucurbita_pepo,0.509110505,plant,visitation_evenness,0.62016339
19,Dpo_Epl,Salvia_farinacea,0.347999219,plant,visitation_evenness,0.548131823
19,Dpo_Epl,Lupinus_hartwegii,0.549896023,plant,visitation_evenness,0.548131823
19,Dpo_Epl,Fagopyrum_esculentum,0.338944445,plant,visitation_evenness,0.548131823
19,Dpo_Epl,Coriandrum_sativum,0.306208521,plant,visitation_evenness,0.548131823
19,Dpo_Epl,Brassica_rapa,0.265704243,plant,visitation_evenness,0.548131823
19,Dpo_Epl,Centaurea_cyanus,0.349040788,plant,visitation_evenness,0.548131823
19,Dpo_Epl,Cucurbita_pepo,0.649264837,plant,visitation_evenness,0.548131823
2,Epo_Epl,Brassica_rapa,0.236607547,plant,visitation_evenness,0.686697732
2,Epo_Epl,Centaurea_cyanus,0.379281308,plant,visitation_evenness,0.686697732
2,Epo_Epl,Cucurbita_pepo,1,plant,visitation_evenness,0.686697732
2,Epo_Epl,Coriandrum_sativum,0.190054723,plant,visitation_evenness,0.686697732
2,Epo_Epl,Lupinus_hartwegii,0.359329818,plant,visitation_evenness,0.686697732
2,Epo_Epl,Fagopyrum_esculentum,0.223072689,plant,visitation_evenness,0.686697732
2,Epo_Epl,Salvia_farinacea,0.517748006,plant,visitation_evenness,0.686697732
20,Dpo_Epl,Fagopyrum_esculentum,0.25485506,plant,visitation_evenness,0.573247907
20,Dpo_Epl,Lupinus_hartwegii,0.213064214,plant,visitation_evenness,0.573247907
20,Dpo_Epl,Salvia_farinacea,0.360623568,plant,visitation_evenness,0.573247907
20,Dpo_Epl,Brassica_rapa,0.225943484,plant,visitation_evenness,0.573247907
20,Dpo_Epl,Cucurbita_pepo,1,plant,visitation_evenness,0.573247907
20,Dpo_Epl,Centaurea_cyanus,0.419754217,plant,visitation_evenness,0.573247907
20,Dpo_Epl,Coriandrum_sativum,0.248818705,plant,visitation_evenness,0.573247907
3,Epo_Epl,Centaurea_cyanus,0.300889021,plant,visitation_evenness,0.601050892
3,Epo_Epl,Brassica_rapa,0.223428106,plant,visitation_evenness,0.601050892
3,Epo_Epl,Coriandrum_sativum,0.21025464,plant,visitation_evenness,0.601050892
3,Epo_Epl,Cucurbita_pepo,1,plant,visitation_evenness,0.601050892
3,Epo_Epl,Fagopyrum_esculentum,0.176633457,plant,visitation_evenness,0.601050892
3,Epo_Epl,Lupinus_hartwegii,0.214011558,plant,visitation_evenness,0.601050892
3,Epo_Epl,Salvia_farinacea,0.258162026,plant,visitation_evenness,0.601050892
4,Epo_Epl,Coriandrum_sativum,0.223985199,plant,visitation_evenness,0.548366513
4,Epo_Epl,Centaurea_cyanus,0.537907177,plant,visitation_evenness,0.548366513
4,Epo_Epl,Brassica_rapa,0.262022703,plant,visitation_evenness,0.548366513
4,Epo_Epl,Fagopyrum_esculentum,0.20796848,plant,visitation_evenness,0.548366513
4,Epo_Epl,Cucurbita_pepo,0.591435271,plant,visitation_evenness,0.548366513
4,Epo_Epl,Lupinus_hartwegii,0.262139131,plant,visitation_evenness,0.548366513
4,Epo_Epl,Salvia_farinacea,0.342262019,plant,visitation_evenness,0.548366513
